Nome,Dataset,Licenza,Linklicenza,Fonte,Formato,Note
Segnalazioni Aggiornate da TerremotoCentroItalia,https://raw.githubusercontent.com/emergenzeHack/terremotocentro/master/_data/issues.csv, CC-BY 3.0, https://creativecommons.org/licenses/by/3.0/it/, http://www.terremotocentroitalia.info, CSV, -
Segnalazioni Aggiornate da TerremotoCentroItalia,https://raw.githubusercontent.com/emergenzeHack/terremotocentro/master/_data/issuesjson.json, CC-BY 3.0, https://creativecommons.org/licenses/by/3.0/it/, http://www.terremotocentroitalia.info, JSON, -
Segnalazioni Aggiornate da TerremotoCentroItalia,https://raw.githubusercontent.com/emergenzeHack/terremotocentro/master/_data/issues.geojson, CC-BY 3.0, https://creativecommons.org/licenses/by/3.0/it/, http://www.terremotocentroitalia.info, GeoJSON, -
Feed Segnalazioni Bollettino TerremotoCentroItalia,http://feeds.feedburner.com/BollettinoDelProgettoTerremotocentroitalia, CC-BY 3.0, https://creativecommons.org/licenses/by/3.0/it/, http://www.terremotocentroitalia.info, FEED RSS, -
Elenco delle vittime, https://docs.google.com/spreadsheets/d/1-OIq4Cmb-eURusfbAVmaJONSSAqJGh7NB0dTxduwwcg/pub?gid=746874049&single=true&output=csv, CC-BY 3.0, https://creativecommons.org/licenses/by/3.0/it/, http://www.terremotocentroitalia.info, CSV, -
Storie di successo di TerremotoCentroItalia, https://raw.githubusercontent.com/emergenzeHack/terremotocentro/master/_data/storie.csv, CC-BY 3.0, https://creativecommons.org/licenses/by/3.0/it/, http://www.terremotocentroitalia.info, CSV, -
Links Utili, https://raw.githubusercontent.com/emergenzeHack/terremotocentro/master/_data/links.csv, CC-BY 3.0, https://creativecommons.org/licenses/by/3.0/it/, http://www.terremotocentroitalia.info, CSV, -
Lista dei Comuni del Cratere,https://docs.google.com/spreadsheets/d/1cDw6doPl-WTn9KgNNyxwm92gKLnemMyrE1iCjCE5Cds/pub?gid=812837042&single=true&output=csv, CC-BY 3.0, https://creativecommons.org/licenses/by/3.0/it/, http://www.mef.gov.it/ufficio-stampa/comunicati/2016/comunicato_0153.html, CSV, -
Documenti Raccolti, http://archive.org/advancedsearch.php?q=collection%3ATerremotoCentroItalia&fl%5B%5D=identifier&sort%5B%5D=addeddate+asc&sort%5B%5D=&sort%5B%5D=&rows=10000&page=1&output=json&callback=callback&save=yes, CC-BY 3.0, https://creativecommons.org/licenses/by/3.0/it/, http://www.terremotocentroitalia.info, JSON, Per accedere al singolo documento usare il campo identifier con il link https://archive.org/details/identifier
Foto Raccolte, https://www.flickr.com/groups/3003557@N20/pool/, -, https://www.flickr.com/groups/3003557@N20/pool/, https://www.flickr.com, JPG, La licenza di queste foto ̬ specificata all'interno del gruppo Flickr per ogni fotografia concessa
