Federal,Other Govt,Underdog,Energy/Res Bus,Misc Bus,Misc Ind,Private Org,Misc Null, , 
1,2,8,132,101,102,107,501,,
14,3,9,136,103,111,131,114,,
22,4,10,137,104,112,134,123,,
23,5,11,148,108,139,146,127,,
27,6,13,187,116,153,150,149,,
108,7,140,198,117,166,192,152,,
258,15,145,209,120,168,201,156,,
302,17,154,219,121,173,211,193,,
303,18,155,243,122,172,130,197,,
304,19,161,259,124,177,216,244,,
305,21,215,,125,179,232,251,,
306,25,217,,203,196,249,,,
307,26,218,,205,200,,,,
308,28,222,,206,204,,,,
310,12,223,,210,214,,,,
311,16,224,,220,226,,,,
312,20,229,,221,227,,,,
313,24,230,,225,236,,,,
314,500,239,,228,237,,,,
315,159,247,,231,240,,,,
316,194,248,,233,241,,,,
317,301,250,,234,,,,,
318,,253,,235,,,,,
319,,162,,255,,,,,
320,,164,,257,,,,,
321,,253,,238,,,,,
322,,254,,242,,,,,
323,,256,,113,,,,,
324,,260,,119,,,,,
325,,170,,135,,,,,
326,,174,,138,,,,,
327,,175,,163,,,,,
328,,180,,245,,,,,
329,,182,,246,,,,,
330,,183,,252,,,,,
331,,186,,128,,,,,
332,,188,,133,,,,,
333,,199,,139,,,,,
334,,202,,141,,,,,
335,,207,,143,,,,,
336,,208,,144,,,,,
337,,212,,147,,,,,
338,,213,,151,,,,,
339,,100,,157,,,,,
340,,106,,158,,,,,
341,,110,,160,,,,,
342,,126,,165,,,,,
343,,142,,167,,,,,
344,,,,171,,,,,
345,,,,176,,,,,
346,,,,178,,,,,
347,,,,184,,,,,
348,,,,185,,,,,
349,,,,181,,,,,
350,,,,189,,,,,
351,,,,190,,,,,
352,,,,191,,,,,
353,,,,195,,,,,
354,,,,105,,,,,
355,,,,115,,,,,
356,,,,118,,,,,
357,,,,,,,,,
358,,,,,,,,,
359,,,,,,,,,
360,,,,,,,,,
361,,,,,,,,,
362,,,,,,,,,
363,,,,,,,,,
364,,,,,,,,,
366,,,,,,,,,
367,,,,,,,,,
368,,,,,,,,,
369,,,,,,,,,
370,,,,,,,,,
371,,,,,,,,,
372,,,,,,,,,
373,,,,,,,,,
374,,,,,,,,,
375,,,,,,,,,
376,,,,,,,,,
377,,,,,,,,,
378,,,,,,,,,
379,,,,,,,,,
380,,,,,,,,,
381,,,,,,,,,
382,,,,,,,,,
383,,,,,,,,,
384,,,,,,,,,
385,,,,,,,,,
386,,,,,,,,,
387,,,,,,,,,
388,,,,,,,,,
389,,,,,,,,,
390,,,,,,,,,
391,,,,,,,,,
392,,,,,,,,,
393,,,,,,,,,
394,,,,,,,,,
395,,,,,,,,,
396,,,,,,,,,
397,,,,,,,,,
398,,,,,,,,,
399,,,,,,,,,
400,,,,,,,,,
401,,,,,,,,,
402,,,,,,,,,
403,,,,,,,,,
404,,,,,,,,,
405,,,,,,,,,
406,,,,,,,,,
407,,,,,,,,,
408,,,,,,,,,
409,,,,,,,,,
410,,,,,,,,,
411,,,,,,,,,
412,,,,,,,,,
413,,,,,,,,,
414,,,,,,,,,
415,,,,,,,,,
416,,,,,,,,,
417,,,,,,,,,
418,,,,,,,,,
419,,,,,,,,,
420,,,,,,,,,
421,,,,,,,,,